,p1,p3,p4,p5,p6,p7,p13,p14,p15,p17,p19,p20,p21,p22,p23,p24,p26,p27,p32,p33,p34,p35,p36,p39,p40,p41,p42,p43,p44,p45,p46.1,p46.2,p46.3,p46.4,p46.5,p46.6,p47,48.1,48.2,48.3,48.4,48.5,48.6,54.1,54.2,54.3,54.4,54.5,54.6,54.7,54.8,54.9,54.91,p65,p66,p67,"p68,1","p68,2","p68,3","p68,4","p68,5","p68,6","p68,7","p68,8","p68,9","P70,1","p70,2","p70,3",p71,"p72,1","p72,2","p72,3","p72,4","p72,5","p72,6","p72,7",p74,p91,p92,p93,p94,p95,p96,p97,p99,p100,p101,p102,p103,p104,p106,"p108,1","p108,2","p108,3","p108,4","p108,5","p108,6","p108,7","p108,8","p108,9","p108,91","p108,92",p128,p131
0,2019,4,3,30,36,42,0,21,0,1,5,7,0,0,0,0,3,1,1,2,1,1,1,2,1,1,4,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,21175.0,5,5,0,0,4,0,0,4,1,2,1,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,4,3,25,36,42,1,48,3,2,5,7,1,0,0,0,5,2,2,3,1,1,2,1,1,1,4,4,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,3,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,6881.0,5,5,0,0,4,1,1,3,1,2,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,1,1
2,2019,4,3,30,36,42,0,33,0,4,5,8,0,0,0,0,5,2,2,3,1,1,1,2,1,1,4,4,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,22146.0,6,5,0,0,2,1,0,4,0,2,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,1,1
3,2019,4,3,25,36,42,1,36,0,1,5,7,1,0,0,0,6,2,2,4,1,1,2,3,1,1,4,4,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,5840.0,6,5,0,0,4,1,1,1,1,2,1,0,6,3,1,0,0,0,0,0,0,0,0,0,0,1,0
4,2019,4,3,30,36,42,0,64,0,2,5,4,0,2,0,0,5,2,3,2,1,1,1,2,3,1,4,4,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,10078.0,5,5,0,0,4,2,0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,1
5,2019,4,3,30,36,42,0,60,0,1,5,7,0,0,0,0,3,1,2,1,1,1,1,1,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2973.0,5,5,0,0,4,1,0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
6,2019,4,3,30,36,42,0,51,5,1,5,7,0,0,0,0,5,3,2,3,1,1,1,2,1,1,4,4,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,12,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,682.0,5,5,0,0,4,2,0,1,1,2,0,0,6,4,1,0,0,0,0,0,0,0,0,0,0,1,1
7,2019,4,3,30,36,42,0,45,0,2,5,7,0,1,0,0,4,1,2,2,1,1,1,1,2,1,4,4,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,7739.0,5,5,0,0,4,1,1,3,0,4,0,0,6,4,1,0,0,0,0,0,0,0,0,0,0,0,1
8,2019,4,3,30,36,42,1,53,0,1,5,7,1,0,0,1,5,1,4,1,1,1,1,1,2,1,1,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,13465.0,6,5,0,0,4,1,1,1,0,2,1,0,6,3,0,0,0,0,0,0,0,0,0,0,0,1,1
9,2019,4,3,30,36,42,0,34,0,2,5,5,0,0,0,0,5,1,2,3,1,2,1,2,1,1,4,4,0,0,0,0,1,0,0,0,3,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,6,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,10580.0,5,5,0,0,1,0,1,1,0,2,0,0,6,3,0,0,0,0,0,0,0,0,0,1,0,0,1
